Stamp,Speed(m/h)
2016-03-01 00:00:00,66.11874361874362
2016-03-01 00:05:00,65.06739381739382
2016-03-01 00:10:00,62.5927975927976
2016-03-01 00:15:00,67.30384855384854
2016-03-01 00:20:00,60.41847541847542
2016-03-01 00:25:00,63.19785319785321
2016-03-01 00:30:00,64.01822026822026
2016-03-01 00:35:00,57.195124695124704
2016-03-01 00:40:00,63.66840741840743
2016-03-01 00:45:00,63.96387646387646
2016-03-01 00:50:00,61.21351621351621
2016-03-01 00:55:00,63.84630134630135
2016-03-01 01:00:00,62.26013601013602
2016-03-01 01:05:00,62.324919824919824
2016-03-01 01:10:00,61.770183020183026
2016-03-01 01:15:00,60.53759428759429
2016-03-01 01:20:00,60.05889505889506
2016-03-01 01:25:00,58.98190773190773
2016-03-01 01:30:00,56.19975744975746
2016-03-01 01:35:00,60.73250323250324
2016-03-01 01:40:00,63.67255617255618
2016-03-01 01:45:00,61.863598113598115
2016-03-01 01:50:00,50.83977083977085
2016-03-01 01:55:00,50.603281853281864
2016-03-01 02:00:00,54.413248163248156
2016-03-01 02:05:00,56.06529106529107
2016-03-01 02:10:00,60.91476591476593
2016-03-01 02:15:00,49.90212740212741
2016-03-01 02:20:00,63.87980637980638
2016-03-01 02:25:00,53.77156002156003
2016-03-01 02:30:00,56.81203306203306
2016-03-01 02:35:00,57.32194857194857
2016-03-01 02:40:00,48.50372225372226
2016-03-01 02:45:00,56.27169627169627
2016-03-01 02:50:00,56.304421304421304
2016-03-01 02:55:00,54.8989548989549
2016-03-01 03:00:00,53.8972938972939
2016-03-01 03:05:00,57.89077414077415
2016-03-01 03:10:00,53.82491132491132
2016-03-01 03:15:00,56.27268127268128
2016-03-01 03:20:00,55.07477257477257
2016-03-01 03:25:00,50.67907442907442
2016-03-01 03:30:00,46.34652134652135
2016-03-01 03:35:00,41.75274800274801
2016-03-01 03:40:00,54.11575286575288
2016-03-01 03:45:00,56.67817042817043
2016-03-01 03:50:00,56.55158780158781
2016-03-01 03:55:00,52.71668521668522
2016-03-01 04:00:00,52.536780036780044
2016-03-01 04:05:00,47.684322684322694
2016-03-01 04:10:00,55.378414128414136
2016-03-01 04:15:00,50.11418636418637
2016-03-01 04:20:00,44.100761600761615
2016-03-01 04:25:00,47.84066034066035
2016-03-01 04:30:00,48.80683130683131
2016-03-01 04:35:00,47.2491684991685
2016-03-01 04:40:00,44.65146715146715
2016-03-01 04:45:00,50.196693946693934
2016-03-01 04:50:00,46.40943015943017
2016-03-01 04:55:00,48.5568198068198
2016-03-01 05:00:00,45.07553507553507
2016-03-01 05:05:00,47.93057543057543
2016-03-01 05:10:00,46.20862745862746
2016-03-01 05:15:00,38.27624702624703
2016-03-01 05:20:00,41.21761996761996
2016-03-01 05:25:00,38.87741012741013
2016-03-01 05:30:00,37.138430888430904
2016-03-01 05:35:00,28.57759357759357
2016-03-01 05:40:00,29.3965693965694
2016-03-01 05:45:00,33.856828856828855
2016-03-01 05:50:00,34.06816656816657
2016-03-01 05:55:00,31.71117546117545
2016-03-01 06:00:00,30.964724714724717
2016-03-01 06:05:00,31.812945562945565
2016-03-01 06:10:00,28.173595673595678
2016-03-01 06:15:00,26.522365272365274
2016-03-01 06:20:00,31.78863053863053
2016-03-01 06:25:00,31.55253155253155
2016-03-01 06:30:00,29.12584662584663
2016-03-01 06:35:00,26.68952793952793
2016-03-01 06:40:00,26.46259521259521
2016-03-01 06:45:00,24.6469733969734
2016-03-01 06:50:00,24.655767155767155
2016-03-01 06:55:00,24.923658673658675
2016-03-01 07:00:00,28.610067360067355
2016-03-01 07:05:00,19.26739551739552
2016-03-01 07:10:00,24.471985721985725
2016-03-01 07:15:00,24.27591552591552
2016-03-01 07:20:00,30.72031697031697
2016-03-01 07:25:00,24.506329506329514
2016-03-01 07:30:00,22.651013901013908
2016-03-01 07:35:00,20.39112289112289
2016-03-01 07:40:00,23.353004603004607
2016-03-01 07:45:00,26.320876320876327
2016-03-01 07:50:00,24.835384835384836
2016-03-01 07:55:00,20.677888177888185
2016-03-01 08:00:00,18.38367588367589
2016-03-01 08:05:00,22.373683623683625
2016-03-01 08:10:00,18.181199431199428
2016-03-01 08:15:00,19.236517986517985
2016-03-01 08:20:00,18.47727222727223
2016-03-01 08:25:00,23.861771361771364
2016-03-01 08:30:00,21.239032489032493
2016-03-01 08:35:00,19.82528107528108
2016-03-01 08:40:00,20.581109331109328
2016-03-01 08:45:00,21.253391253391253
2016-03-01 08:50:00,22.38984488984489
2016-03-01 08:55:00,20.62126187126188
2016-03-01 09:00:00,17.51338876338876
2016-03-01 09:05:00,19.946168696168694
2016-03-01 09:10:00,19.74176224176224
2016-03-01 09:15:00,20.52860927860928
2016-03-01 09:20:00,20.950678450678453
2016-03-01 09:25:00,22.50730000730001
2016-03-01 09:30:00,15.688645688645689
2016-03-01 09:35:00,19.114576614576613
2016-03-01 09:40:00,19.400246900246906
2016-03-01 09:45:00,21.090103590103592
2016-03-01 09:50:00,19.572175822175826
2016-03-01 09:55:00,21.472115222115217
2016-03-01 10:00:00,16.648637898637897
2016-03-01 10:05:00,20.35467535467536
2016-03-01 10:10:00,17.989129239129234
2016-03-01 10:15:00,24.22243672243672
2016-03-01 10:20:00,23.55932355932357
2016-03-01 10:25:00,20.832074582074586
2016-03-01 10:30:00,17.54171254171254
2016-03-01 10:35:00,23.38374713374714
2016-03-01 10:40:00,17.434943684943686
2016-03-01 10:45:00,17.480162480162477
2016-03-01 10:50:00,18.86754011754012
2016-03-01 10:55:00,22.626505126505126
